Countries_Regions,Count,Latitude,Longitude
Nepal,262,28.3949,84.124
Netherlands,2285,52.1326,5.2913
New Caledonia,24,-20.9043,165.618
New Zealand,54,-40.9006,174.886
Nicaragua,6,12.8654,-85.2072
Niger,17,17.6078,8.0817
Nigeria,647,9.082,8.6753
Norfolk Island,7,-29.0408,167.9547
North Africa,38,26.0198,32.2778
North America,6,54.526,-105.2551
Northern Europe,49,62.2786,12.3402
Norway,88,60.472,8.4689
Oceania,19,-22.7359,140.0188
Pakistan,461,30.3753,69.3451
Palau,4,7.515,134.5825
Palestine,67,31.9522,35.2332
Panama,160,8.538,-80.7821
Papua New Guinea,899,-6.315,143.9555
Paraguay,15,-23.4425,-58.4438
Peru,3531,-9.19,75.0152
Philippines,353,12.8797,121.774
Poland,155,51.9194,19.1451
Portugal,201,39.3999,-8.2245
Puerto Rico,3,18.2208,-66.5901
Republic of the Congo,41,-0.228,15.8277
Romania,4,45.9432,24.9668
Russia,1261,61.524,105.3188
Rwanda,8,-1.9403,29.8739
Samoa,13,-13.759,-172.1046
Saudi Arabia,82,23.8859,45.0792
Scandinavia,37,62.2786,12.3402
Senegal,23,14.4974,-14.4524
Serbia,11,44.0165,21.0059
Sierra Leone,35,8.4606,-11.7799
Slovakia,122,48.669,19.699
Slovenia,3,46.1512,14.9955
Solomon Islands,69,-9.6457,160.1562
Somalia,3,5.1521,46.1996
South Africa,54,-30.5595,22.9375
South America,15,-8.7832,-55.4915
South Asia,2,25.0376,76.4563
South Sudan,3,6.877,31.307
Southeast Asia,6,-14.5116,37.9915
Southern Africa,9,-24.3571,19.5687
Spain,2680,40.4637,-3.7492
Sri Lanka,117,7.8731,80.7718
Sudan,169,12.8628,30.2176
Suriname,9,3.9193,-56.0278
Swaziland,3,-26.5225,31.4659
Sweden,194,60.1282,18.6435
Switzerland,840,46.8182,8.2275
Syria,676,34.8021,38.9968
Taiwan,17,23.6978,120.9605
Tajikistan,2,38.861,71.2761
Tanzania,41,-6.369,34.8888
Thailand,657,15.87,100.9925
Tibet,562,30.1534,88.7879
Timor-Leste,6,-8.8742,125.7275
Togo,32,8.6195,0.8248
Tonga,11,-21.179,-175.1982
Tunisia,64,33.8869,9.5375
Turkey,1893,38.9637,35.2433
Turkmenistan,10,38.9697,59.5563
Uganda,22,1.3733,32.2903
Ukraine,25,48.3794,31.1656
United Kingdom,12239,55.3781,-3.436
United States,32104,37.0902,-95.7129
Uruguay,4,-32.5228,-55.7658
Uzbekistan,114,41.3775,64.5853
Vanuatu,68,-15.3767,166.9592
Venezuela,7,6.4238,-66.5897
Vietnam,192,14.0583,108.2772
West Africa,69,13.5317,-2.4604
Western Asia,473,38.3554,40.1838
Western Europe,721,46.2022,1.2644
Yemen,3,15.5527,48.5164
Zambia,8,-13.1339,27.8493
Zimbabwe,11,-19.0154,29.1549
